This file contains the adiabatic coefficient (kappa, delad), heat capacity and entropy per unit mass for a water, hydrogen and helium mixture, pre-tabulated for temperature and pressure. This file can be used in HELIOS.
temp.[K]  press.[1e-6bar]  delad           c_p[erg mol^-1 K^-1]    log_S[log10(erg g^-1 K^-1)]   
267.785   1.241537e+03     2.481463e-01    3.353319e+08            7.993695e+00                  
267.785   1.449018e+03     2.480928e-01    3.354551e+08            7.990538e+00                  
267.785   1.691173e+03     2.480225e-01    3.356130e+08            7.987358e+00                  
267.785   1.973795e+03     2.479279e-01    3.358195e+08            7.984153e+00                  
267.785   2.303648e+03     2.477975e-01    3.360958e+08            7.980924e+00                  
267.785   2.688625e+03     2.476137e-01    3.364744e+08            7.977669e+00                  
267.785   3.137938e+03     2.473492e-01    3.370058e+08            7.974388e+00                  
267.785   3.662338e+03     2.469614e-01    3.377680e+08            7.971080e+00                  
267.785   4.274374e+03     2.474871e-01    3.364659e+08            7.973942e+00                  
267.785   4.988691e+03     2.474104e-01    3.366615e+08            7.970635e+00                  
267.785   5.822382e+03     2.473136e-01    3.369028e+08            7.967302e+00                  
267.785   6.795396e+03     2.471891e-01    3.372053e+08            7.963942e+00                  
267.785   7.931017e+03     2.470254e-01    3.375915e+08            7.960554e+00                  
267.785   9.256418e+03     2.468053e-01    3.380949e+08            7.957137e+00                  
267.785   1.080332e+04     2.465024e-01    3.387661e+08            7.953691e+00                  
267.785   1.260872e+04     2.460764e-01    3.396826e+08            7.950215e+00                  
267.785   1.471585e+04     2.454650e-01    3.409640e+08            7.946706e+00                  
267.785   1.717510e+04     2.464228e-01    3.386448e+08            7.949336e+00                  
267.785   2.004534e+04     2.462651e-01    3.390804e+08            7.945827e+00                  
267.785   2.339524e+04     2.460675e-01    3.396146e+08            7.942288e+00                  
267.785   2.730496e+04     2.458154e-01    3.402788e+08            7.938716e+00                  
267.785   3.186807e+04     2.454871e-01    3.411184e+08            7.935110e+00                  
267.785   3.719374e+04     2.450503e-01    3.422009e+08            7.931470e+00                  
267.785   4.340941e+04     2.444558e-01    3.436269e+08            7.927794e+00                  
267.785   5.066383e+04     2.436295e-01    3.455500e+08            7.924079e+00                  
267.785   5.913057e+04     2.449575e-01    3.421654e+08            7.926498e+00                  
267.785   6.901225e+04     2.446735e-01    3.430445e+08            7.922782e+00                  
267.785   8.054531e+04     2.443224e-01    3.441126e+08            7.919027e+00                  
267.785   9.400574e+04     2.438815e-01    3.454252e+08            7.915233e+00                  
267.785   1.097156e+05     2.433178e-01    3.470615e+08            7.911397e+00                  
267.785   1.280509e+05     2.425823e-01    3.491365e+08            7.907516e+00                  
267.785   1.494502e+05     2.416021e-01    3.518212e+08            7.903587e+00                  
267.785   1.744258e+05     2.430909e-01    3.475589e+08            7.905815e+00                  
267.785   2.035752e+05     2.426391e-01    3.491854e+08            7.901883e+00                  
267.785   2.375959e+05     2.420890e-01    3.511491e+08            7.897901e+00                  
267.785   2.773020e+05     2.414100e-01    3.535439e+08            7.893869e+00                  
267.785   3.236437e+05     2.405572e-01    3.565046e+08            7.889780e+00                  
267.785   3.777298e+05     2.414803e-01    3.528811e+08            7.891782e+00                  
267.785   4.408545e+05     2.409381e-01    3.552113e+08            7.887681e+00                  
267.785   5.145285e+05     2.402877e-01    3.580140e+08            7.883522e+00                  
267.785   6.005145e+05     2.394973e-01    3.614205e+08            7.879298e+00                  
267.785   7.008702e+05     2.385152e-01    3.656311e+08            7.875004e+00                  
267.785   8.179969e+05     2.394563e-01    3.612647e+08            7.876824e+00                  
267.785   9.546975e+05     2.387408e-01    3.649550e+08            7.872508e+00                  
267.785   1.114243e+06     2.378691e-01    3.694686e+08            7.868114e+00                  
267.785   1.300451e+06     2.367735e-01    3.751114e+08            7.863633e+00                  
267.785   1.517777e+06     2.353178e-01    3.824454e+08            7.859050e+00                  
267.785   1.771422e+06     2.368522e-01    3.754157e+08            7.860744e+00                  
267.785   2.067456e+06     2.357867e-01    3.819737e+08            7.856126e+00                  
267.785   2.412961e+06     2.343790e-01    3.904407e+08            7.851391e+00                  
267.785   2.816206e+06     2.323514e-01    4.020416e+08            7.846517e+00                  
267.785   3.286840e+06     2.345493e-01    3.918279e+08            7.848073e+00                  
267.785   3.836124e+06     2.330893e-01    4.023153e+08            7.843140e+00                  
267.785   4.477202e+06     2.309643e-01    4.166986e+08            7.838034e+00                  
267.785   5.225415e+06     2.331346e-01    4.058014e+08            7.839401e+00                  
267.785   6.098667e+06     2.315366e-01    4.195847e+08            7.834203e+00                  
267.785   7.117853e+06     2.291491e-01    4.387468e+08            7.828780e+00                  
267.785   8.307361e+06     2.251384e-01    4.680978e+08            7.823062e+00                  
267.785   9.695656e+06     2.297035e-01    4.452689e+08            7.824417e+00                  
267.785   1.131596e+07     2.268170e-01    4.727866e+08            7.818538e+00                  
267.785   1.320704e+07     2.217557e-01    5.166571e+08            7.812233e+00                  
267.785   1.541415e+07     2.274622e-01    4.853097e+08            7.813500e+00                  
267.785   1.799010e+07     2.236458e-01    5.286852e+08            7.806922e+00                  
267.785   2.099654e+07     2.276184e-01    5.049525e+08            7.807900e+00                  
267.785   2.450540e+07     2.244486e-01    5.527768e+08            7.800933e+00                  
267.785   2.860065e+07     2.187650e-01    6.313799e+08            7.793174e+00                  
267.785   3.338028e+07     2.246581e-01    5.901428e+08            7.794142e+00                  
267.785   3.895866e+07     2.196173e-01    6.833951e+08            7.785644e+00                  
267.785   4.546928e+07     2.244492e-01    6.458382e+08            7.786337e+00                  
267.785   5.306794e+07     2.194639e-01    7.692838e+08            7.776738e+00                  
267.785   6.193645e+07     2.237593e-01    7.310771e+08            7.777162e+00                  
267.785   7.228703e+07     2.181233e-01    9.166750e+08            7.765825e+00                  
267.785   8.436737e+07     2.221867e-01    8.716150e+08            7.765974e+00                  
267.785   9.846652e+07     2.145058e-01    1.211405e+09            7.751568e+00                  
267.785   1.149219e+08     2.185206e-01    1.139987e+09            7.751478e+00                  
267.785   1.341272e+08     2.205266e-01    1.110331e+09            7.750660e+00                  
267.785   1.565420e+08     2.087343e-01    1.856586e+09            7.730268e+00                  
267.785   1.827027e+08     2.102409e-01    1.736519e+09            7.729331e+00                  
267.785   2.132353e+08     2.100740e-01    1.669601e+09            7.727639e+00                  
267.785   2.488703e+08     1.774267e-01    4.437193e+09            7.691163e+00                  
267.785   2.904606e+08     8.808225e-02    3.262750e+09            7.627168e+00                  
267.785   3.390013e+08     6.614704e-02    1.796066e+09            7.611560e+00                  
267.785   3.956539e+08     5.918446e-02    1.411583e+09            7.602516e+00                  
267.785   4.617741e+08     5.635230e-02    1.220122e+09            7.595457e+00                  
267.785   5.389440e+08     5.545006e-02    1.102188e+09            7.589309e+00                  
267.785   6.290102e+08     5.564941e-02    1.020182e+09            7.583637e+00                  
267.785   7.341280e+08     5.657294e-02    9.586971e+08            7.578221e+00                  
267.785   8.568127e+08     5.802517e-02    9.102639e+08            7.572930e+00                  
267.785   1.000000e+09     5.989223e-02    8.707725e+08            7.567676e+00                  
287.584   1.000000e-01     2.478721e-01    3.354299e+08            8.156534e+00                  
287.584   1.167116e-01     2.478721e-01    3.354299e+08            8.154368e+00                  
287.584   1.362160e-01     2.478721e-01    3.354299e+08            8.152192e+00                  
287.584   1.589799e-01     2.478721e-01    3.354299e+08            8.150005e+00                  
287.584   1.855480e-01     2.478721e-01    3.354299e+08            8.147806e+00                  
287.584   2.165561e-01     2.478721e-01    3.354299e+08            8.145597e+00                  
287.584   2.527462e-01     2.478721e-01    3.354299e+08            8.143376e+00                  
